Username	Answer
bergeror	I like your method of teaching you learn a lot and It definitely provides the deepest level of understanding and learning. However it can be confusing at times especially with the assignments.
ptberry	"Honestly, very nice Professor, however, the course itself is really confusing and a little pointless. I have been very confused on what the class is even about, why we are coding, how we're supposed to make the code, and explain DRIVER, but we haven't been taught the basic principles of a lot of what the class is about. I think everyone in this class is just going along and has learned nothing except DRIVER. I believe that maybe a way to make it more understandable for students of little knowledge is that maybe we could take the first half of lectures to learn and read through the material, for example, learn what the topic is, what it means, how we can use it, just a normal reading lesson. Then once we've learned, like what stocks are, what dividends are, what they do, just what and why things are the way they are in the financial world, and what certain numbers mean. Then we can move on to the application and try to solve a problem from the textbook, and plug it into Google Gemini and decode. I feel the only tangible things I have learned so far are the principle of DRIVER and that we are supposed to ask Google Gemini to solve the codes for us. We ask Gemini for codes and to Define a problem when theres formulas for dividends or time value money that none of us have had the time to understand ourselves."
lbikkavi	"I think that the course is good, I like the projects and mini projects I just think that sometimes it is confusing what exactly to do because it is not always explained fully. For example, the mini project, I was a bit confused what I needed to do because it was not ever entirely explained, more left up for interpretation. I only understood what I needed to do fully when a student explained it to me. But, I love the inclusion of AI and I actually do love the projects, it is so efficient and it is such a good way for me to learn the content. I am enjoying so far!"
tblanton	"I enjoy the potential of the course. However, the course is difficult to understand and I struggle with learning financial concepts using AI because we spend very little time in class understanding the concept before applying it to an example. I think this class would benefit from having a structured schedule with lecture notes. I would also like more guidance on the weekly video assignments and projects because they are very rarely explained during class and we are left to figure them out on our own."
wborows	"I really like how we are using AI to achieve our goals. It is going to be really big in our lives in a few years. By learning how to utilize it to make us better is very helpful. I wish that some of the instructions for the assignments were a little clearer. it seems some stuff is vague, and I have to ask a bunch of people questions on it. I really enjoy the class though, just wish for a little bit more clarity."
bowma177	"The good, is I am starting to understand python better. The bad for me is we get off track/ dont go through certain things. Also feels like we are always off which is fine but we are working ahead when stuff behind us is due. Other than that has been a good course so far"
bradfo27	"I really like how Dr. Zhang approaches the class, very forward-thinking and helping us build relevant skills for our future careers. I like how the assignments are structured and the material we cover in class; my only complaint would be that the class is at 4:30 and I struggle to stay engaged but Dr Zhang does a good job keeping us entertained. I also really like the github website.   My wish list would only be to keep doing what you are doing to teach us the material.   Overall, great class; I struggle a little bit, but I am confident I can survive."
ebrumme	"I have been enjoying this class so far this year. I think that learning to use AI is a really great resource. Learning the proper way to use it to my advantage has been very helpful not only in this course but also others. I think the structure of the class can be confusing at times due to due dates, but I also understand that sometimes schedules change, so we need to be flexible. Sometimes assignments can be a little confusing because we don't know exactly what you are expecting, but the feedback helps us know what you are expecting it is just unfortunate that it is after the assignments are turned in.    At the moment I don't have anything on my wish list. I enjoy that you don't just lecture and read off slides the whole class, it makes it much more enjoyable!"
buchei	"My overall feedback from this course is positive. I believe the interesting learning style and homework assignments has given me growth as a student. However, it has been a little bit challenging fully grasping the understanding of the assignment. I wish the course was a little more direct in explaining financial management at times. I feel as if class and the assignments can go astray."
rcairo	"The good: I enjoy the AI side of things. I think this class is ahead of its time and may prove very helpful in the future. The bad: For some who signed up for a traditional MGMT310 class, I feel as if this is not what they signed up for; that being said, I enjoy this class.   The wishlist: N/A   The feedback in your own words: I think this class needs a different type of advertising, I believe (to my knowledge, could be wrong) that the other sections' classes are almost nothing like this one in the sense that they don't use DRIVER and AI. I almost believe this class is a different class from MGMT310, if that makes sense. Once again, that being said, I enjoy this class."
carro146	"I feel like you do good on grading fairly and getting our assignments put into the gradebook in a timely manner.    I wish the in-class discussions were less confrontational and more voluntary. I will raise my hand for questions I know the answer to, but I continuously keep getting called on for questions that I clearly do not know.   The only wish I have is to make in-class discussions more voluntary and less forced. I do believe you will end up getting more feedback if you do it that way rather than having everyone scared they are going to get called on for the one question that they did not know."
jcasian	"I really like using the guidebook in class. It helps me understand and learn how to use it in my own. Additionally, I strongly appreciate the feedback given for the video assignments.  For a reason, I was troubling to find the content for the first video assignment. Clearer instructions is something I would change.  I feel the first weeks were kind of slow, which is okay as we were getting introduced to the class, but maybe a faster pace would have engaged me more. I am enjoying the stock section and wish this excitement remains.  Overall, I believe this is a great and unique course and would not change anything major."
chen5063	I like the course layout and I think the assignments are beneficial. There's not much I think needs improvement because the textbook is really helpful.
cheng754	"Good: I think the design of the assignments are nice and we have enough time to work on it.  Bad: sometimes i'm not really sure what we are talking about in class, this could be totally on me."
colon34	"- Good: I like that we are tasked with using AI to build things for us. Before this class I had not used AI much, but I am enjoying learning how to manipulate it to do certain things. Each time we are asked to use AI for an assignment I am learning better ways to use it and to curate prompts. I think this skill will be very useful for my future.  - Bad: I feel like AI is more of the main focus of this class, I don't really feel like we are diving into the concepts of finance, in a structured way, as much as I would like.  - Wish list: I wouldn't say that I have anything specific that I'm wishing for in this class. I like the flow of it so far.  - Feedback: Overall, I am really enjoying this class so far. I am getting better at using AI, explaining things in a video, and learning finance concepts."
icorrale	"The good and the bad kind of come from the same place: using AI. I like it as a tool, but it has taken me longer to really understand where the numbers come from and what they mean. It might also be because I'm a calculations person but it's a little difficult doing it with collab even though it spits out the answer fast. The class also seems more focused on the Colab and a lot of AI talk than on the actual finance side of things. It would be helpful it we spent more time learning the terms and processes, what they mean, and how to apply them without always having to look them up. I'm glad AI is included, but I think it'd help to branch out a bit, keep it as a supplement and put a little more focus on stand alone finance information to at least give some background instead directly putting it into AI."
vcraw	"I am enjoying the mgmt 310 class so far. I think it is very different to anything I have ever been a part of and gives me a different angle on how to learn and communicate with AI to assist me in formulating financial data. I'm not sure what I am doing wrong on the video assignments, as I am trying to make the best prompts possible that can be backed by my analysis. I want to be able to understand what it is I am doing wrong and understand how to correct the issues in order for me to gain more knowledge and be able to interpret financial inputs and make decisions based on future projections. I am excited for the rest of the year and am enjoying my mini project one currently."
creanc	"So far I think this class has been very beneficial for me. At first it was confusing and trying to figure out the assignments, and the whole you tube video submission process was tricky. But now that I have figured everything out it is going well. The actual content of the class is helping me out a lot with understanding financial analysis, which is great for me as a Finance major. I feel like I have learned a lot about certain things in the finance world, and these assignments are challenging me which is good because I am learning and growing."
cruz22	"Hello Professor, What I really like about this course is your enthusiasm presented in each class. I especially like the use of AI during project assignments. I say this because I believe we are headed in a direction where the use of AI will continue to grow exponentially regardless of which industry we work in, and it is important to maintain that ""DRIVER"" focus rather than being a passenger.   As for my wishlist, it's to gain insights into specific markets so we can learn to analyze different patterns from a financial standpoint so we know how to apply them if we ever choose to change careers or want to become our own investors."
adamayo	"So far, I've thought the class has been pretty good personally, but I could see how people would be confused throughout. I enjoy the fact that we use AI because I don't tend to interact with it much and it allows me to gain some experience utilizing it. That being said, I don't believe most people expected to work with AI throughout the course and I believe some prior notice would've been nice going into the class. Moreover, when it comes to assignments and projects, if there was some more clarity with what is actually needed to fulfill the assignments, I think that would be helpful as it took my peers and I some time to figure out the assignments were within the book. Also, for the upcoming project, some more experience with new programs like Replet and what we need to do would be useful."
dave59	"Overall I enjoy this course a lot since it trains the students how to be ready in this new AI world and how it will be applied to all fields like finance, the professor does a really good job on getting the main point across and how we should be solving problems using AI as a tool not as a crutch."
david54	"The good in this class is the use of AI. I think it's good to start getting more familiar with AI because in the future, AI is going to become more and more common. I wish they would provide more instruction. I feel we are mostly in class, we are told to do a lot of things, but not explained how we should do it, and the same with assignments, we aren't given instructions, we just have to read the textbook and figure it out.  Some feedback in the course is that I like the outline of the class, having just one assignment a week, and having no exams. As a bad exam taker, I can benefit from not having to take more exams."
dedhiaj	"I have really enjoyed MGMT 310 so far. One interesting thing about the course is that it uses AI tools in lectures and for homework. This has made even the most complicated financial notions much easier to understand and relate to.I think I now understand how and why people make financial decisions instead of just memorizing formulas. The AI integration has also given me useful tips on how to build and analyze projects more quickly. It has let me try out a lot of different situations, test models, and get quick feedback on what I've done. This method has made the course more interesting overall and has added a lot to my learning this semester. My wish-list would involve more projects like mini project 1"
dejesus3	"The Good: One thing I really appreciated about this course is that the material was easy to find and understand. The way the resources were laid out made it simple to follow along, and the explanations helped me grasp the concepts without feeling lost.   The Bad: The course felt a little too long at times. Not in a negative way, since the material was useful, but it sometimes seemed like it could have been a little more condensed without losing quality.   The Wish List: I would have liked to receive more feedback on assignments. Having more detailed comments or suggestions would have helped me understand exactly what I was doing well and where I could improve for future work.   In My Own Words: Overall, I think the course was well-organized and very manageable. The content was clear and accessible, and I was able to follow along without issues. The main improvements I would suggest are shortening some parts of the course and adding more feedback on assignments to make the learning process even stronger."
dillinga	"I appreciate the flexibility of the projects and the lectures. For me, the python calculations in the textbook we focus on in class can be hard to understand because they don't necessarily show the steps for solving. I appreciate when the professor performs the calculations on the white board. The projects are where I feel like I'm most learning and am able to work through the formulas."
rdinn	"Loop 1: https://6d5293b1-b74a-4be0-96bb-95e726814e66-00-1gc2md0fu7zz1.spock.replit.dev/   Loop 2: https://6d5293b1-b74a-4be0-96bb-95e726814e66-00-1gc2md0fu7zz1.spock.replit.dev/   Loop 1: What I built and what I learned For the first loop, I made a simple Rule of 72 calculator. It just had one box for the interest rate and a button that showed the result. The page looked basic and had no style, but it worked and gave the right answer. I learned that the hardest part is just getting something on the screen, and once that happens, it's not as bad to improve it.   Loop 2: What I improved and why In the second loop, I added some styling so it looked cleaner and easier to use. I also made it check for bad inputs, like negative numbers or zero. Then I added another calculator for Present Value, since that's another concept from class that made sense to include. These changes fixed the biggest problems from the first version and made the tool more useful overall.   Overall: Biggest surprise about building with AI The biggest surprise was how fast I could get something working with AI. I still needed to know the finance formulas, but AI handled most of the coding. It showed me that even without being a programmer, I can actually build something that works."
dodson22	"Most of the time, my peers and I feel very lost during class because we do not understand what is being said. The professor's voice seems to be quiet but speaks at a rapid pace, so it is difficult to catch key points and follow the topic's progression in class. It would be helpful if the professor could project their voice more and provide additional examples to clarify some of the class material. This would make it easier for my peers and I to feel fully engaged in class. However, the peer collaboration is very helpful as well as making videos to regurgitate the information we talked about in class."
jdragoni	"Hi there,    Some feedback that I had about the course is that I really like the actual class participation and examples that are used, as it makes it feel like an actual conversation and that there is some real world application to the things we are discussing in the class room. I also like using AI in class and being encouraged to use it, as well as learning more about the prompts to give to it to get a detailed answer. I feel like this will be important in the future.    However, I don't as much like the recorded video assignments, as I feel like there is a lot of room for technical difficulties and error that could take off points. I get that it is a good way to show off what we know in real time, but at the same time it doesn't feel like a good way of learning the work, especially since AI has a big part in doing the work for us and I feel like that sometimes takes away from the learning. I think assignments where we are given clearer instructions and can use AI to learn more about it without having to record a YouTube video would be more beneficial and less troubling for lots of students.    Also with AI, I also don't feel like it has helped with my learning of finance so far I am definitely learning the concepts, but the heavy emphasis on AI and being on our own to generate all these answers without much guidance has been a little bit confusing for me. I wish some of the things we were being taught in class were a little bit more clear.    I hope that we can actually go through more specifics of content rather than be told about this stuff for a couple of minutes before telling AI to throw it into a Colab worksheet and then explaining it for the assignments where I feel like there is not much guidance.    I like learning with AI, and I am sure that it will be a huge part of society and the work that we do as business students, but I don't really feel like I am learning much about finance in this class, but rather more about how to use AI, and I want to put more emphasis on learning about finance. Overall though, I think this class has been going well so far."
debadi	"- The good: I like how you encourage us to use AI and maximize it, it's realistic and very applicable to the work force    - Wish List: Slightly more interactive class   -Good overall, enjoy realistic uses of computer tools and software, very transferable"
echevem	"Good I really like that each class introduces something new and keeps the material engaging. The reports are helpful because they make me reflect on what we learned, and the videos are a good way to reinforce the ideas. Having to explain what we did in class through video also helps me memorize the content and retain the information week by week.   Bad The only downside for me is the requirement to upload the videos on YouTube. While I see the value in using the platform, I personally don't enjoy uploading content there. It's not a major issue, just more of a personal preference.   Wishlist and Feedback Looking ahead, I think it would be great if we had more activities outside of the classroom, such as group interactions or meetings in different parts of campus. Overall, I enjoy the class a lot, and I feel like the structure makes sure we are always learning and actively applying the material in meaningful ways."
seichsta	This class I feel is very important. I like how you constantly relate things to the real world and have a genuine care about your students success. I have nothing bad to say about this course.
neldi	"I  appreciate the integration of computing software and AI in assisting us with financial equations and concepts. This mirrors real-world trends, where organizations are increasingly leveraging AI and other related technologies to maximize their efficiency. I also agree with what you said in the last class regarding your Friday conference. You mentioned that becoming proficient with various AI tools and software will give us a significant advantage over peers from other universities. The reality is that technology evolves rapidly, and the educational system is often slow to adapt.   I value the level of engagement and participation during lectures. However, at times, the main point of the discussion can become obscured, which occasionally disrupts the lecture's flow.   I do not have a wish list that comes to mind that would be practical for the class.    I really enjoy your enthusiasm and love of financial management!"
aemenhi	"I am a big fan of the new framework of learning, DRIVER. I am so used to working on a problem to get the solution without thinking about the process of getting there. This new way of teaching has allowed me to think more critically about the work I am doing. This has allowed for a deeper understanding of the material. With that being said, something that I think has been difficult is understanding what is expected of us when it comes to our assignments. I think a grading criterion that is a little clearer would be beneficial. However, I understand that when we get a real job, we won't have the luxury of a grading scale, so having a little room for interpretation can be commendable. A single word for my feedback would be content."
eenav	This is the first class that I've taken that is heavily encouraging me to use AI with my work and I am enjoying it. I think these are skills that are necessary to learn in today's age of AI. At times I feel uncomfortable adapting to AI but I know that stepping into that uncomfortable area is good for me. I don't have any wishes but I am enjoying the class thank you.
bmengels	"So far this semester, this course has gone well overall! I've enjoyed getting to learn how AI is involved in the world of Financial Management, as this pertains to the world we're evolving into. However, I personally would like to see more in person written Financial Management ""problems"" given out on paper handouts that myself and the rest of the class could work on. I believe this way of ""learning"" still is prominent, and should be used in balance with AI.   Overall, this has been a great start to the semester!"
evans596	The good - No exams - Good classmates   The bad - Unclear instructions - Classtime not constructed to truly help with assignments   Wishlist - Class is correlated with assignments - Clearer instructions
ffacente	"The Good: I enjoy using this new AI learning type of way to better prepare myself for the financial industry post college   The Bad:  The learning curve for some of the more complex AI platforms is hard to understand. Like why some ai chatbots are used over others.    The Wish List: I wish we had more case studies directly comparing the results from an AI tool against traditional financial analysis methods. (I guess like why AI is better than traditional)   The Feedback in Your Own Words: Overall, this AI-integrated approach is a valuable and forward-thinking way to learn finance. The practical exposure to AI applications is highly relevant for a future career I would like to pursue. More guided practice on advanced applications and comparing AI vs. traditional methods would make it even stronger"
foste304	"This class seems decently organized; however I am finding it really difficult to follow along with all of the coding and requirements. I often find myself stressed out and trying to teach myself what is needed for each recorded assignment. I enjoy seeing everybody in class and listening to the lectures because they are engaging and entertaining, which helps all of us pay attention."
franc103	"I like the unique homework which challenges us to present our learning and knowledge in a new way. The only thing I wish is that the class is more organised in the sense that we are told what it is that we are learning and how it relates to other topics. It is sometimes confusing to understand what it is that we are working toward understanding. Additionally, the explanations provided in class can be a bit clearer."
freem174	"- I like how we don't have exams and how it is more project based. I do not like how much we are supposed to use AI, I feel like I'm not fully understanding the concepts. It's hard for me to explain the code because I don't really know how to code.  - I wish that we did less coding.  - I wish that there was more diagrams and examples.  - The class is not too hard to follow, but the assignments can be confusing sometimes. I feel like we could use more information on how to code and interpret the visual financial models our code displays.  -"
fu450	"I think the class is good, a lots of things to practice about, and I feel like I learned more when I make the video. So I don't think there are actually a bad part. And I get to know my learning partner through the process, I could ask her questions and learn together, so I think all in all it's pretty good, nothing to complain about."
gaddam10	"- I appreciate how the class is interactive and how we work on the problems in the textbook together. I also like how we incorporate current financial events into our class discussions.   - I would like if we spent more time going over the information before discussing it, just to refresh our knowledge from prior financial courses.   - I like how by making videos talking about different aspects of finance, we can remember the information better and learn how to communicate it to others."
garlana	I really like the incorporation of google gemini and google colab to help aid us in our learning of the course. I like that we are learning how to properly prompt AI to help us in our learning and understanding while we take the drivers seat. I really like learning with the DRIVER method as it helps me to organize my thoughts. I am struggling a little to understand all the material taught in class fully. Some of the cases in the textbook don't really make sense to me and I would like for there to be more explanation.  I wish that there was more instruction on how to succeed on the WVA's and what specifically the TA's and the professor are looking for. I would like there to be a bit more instruction on assignments given through the textbook so I can better understand and apply concepts learned in class.
garris26	"I like the way this course is structured. I especially enjoy the video assignments because they give me a chance to explain my understanding of different topics we are learning, for instance, the time value of money. I also enjoy the interactive lectures where we can discuss in groups to understand certain functions or code."
gascho	"The good about the class:   The Driver framework makes learning finance more structed and hands-on. We actually get to practice financial modeling and problem-solving —not just memorization.  It builds confidence for students who want to be leaders or decision-makers, even outside of finance.   I wouldn't say there is anything bad about the class   The wish List: Maybe more real-world guest speakers More practice with excel since its used a lot in the workplace."
rgilber	"I really enjoy the use of AI, I feel it is important to be able to leverage the tools around to complete tasks. I wish that we would spend more in class time working on the weekly video assignments. Overall i am really enjoying the course."
mgjorses	"I would say for the good, I enjoy how the addition of coding and showing us how to use Gemini, as I have never used that before. The bad, sometimes I feel the grading on the homework is harsh. I feel as if I explain it all to the best of my ability, and I always get a good amount of points off.    The first thing on my wishlist would be for a greater explanation for each assignment. I feel like I never fully know what to do for my assignments before or while I do them. For example, we have our first mini project due this weekend, and I will not be here so I want to do it ahead of time, but I do not actually know what to do.    For feedback, I would say focus less on making students answer rather than properly explaining the lecture. There have been many lectures that I have walked out of feeling very confused or as if I did not learn much during that class. I would think explaining the ideas would be the most important thing especially if there are no exams to test our knowledge."
sgogula	I really enjoy the layout of this course. Using the DRIVER framework is helping me accurately solve the situations. I like the fact that we are allowed to use AI in order to enhance our learning.
gomez281	"So far, I have enjoyed the MGMT 310000 class with Dr. Zhang. It is a class where I have learnt a lot, from core concepts to how to apply them to the tasks we have to do. What I like the most about the class is when we connect what we have learnt or base our learning in real world scenarios. It is really cool to see how the things that we see translate to the real world cases in the finance field, as well as in general aspects of our day to day life.  I prefer when the classes are entertaining and there are always things happening, as I feel that it ensures our attention and avoids people getting distracted. Although I know they are necessary, I don't really like the classes where it is all concepts, formulas, reading and just going through basic information, and I tend to wander off in those types of sessions.  Overall I think it is a cool class where I am learning lots of new things that I had not explored before, and although it has some improving points, I like it and am looking forward to what is to come the rest of the semester."
agorokho	"This class is extremely low-stress, which I appreciate given the current course load I im under. I think that a greater emphasis on understanding coding languages, ratios, and business terminology, rather than solely on AI, could benefit us as students, as it would provide a more holistic education in financial management."
gross132	"To start off, I really enjoy the way that you teach. I think the way that you just cold call on people is very beneficial for all students to understand the material at hand. Additionally, I really like the way that we utilize AI as a tool for our learning. It will obviously play a big part in our jobs and education in the future, and it is a really good idea to allow us as students to get familiar with it. To be honest I don't really have anything bad to say about the class. I guess the one critique I have is I wish there were some more technical application examples in class. What I mean by this is like using prompts to help us understand the topic further. I understand that we do this for our homework videos, but I think it could help further instill the topics into our heads. I don't really have anything on my wish list. I am excited for the mini projects and the final project at the end of the semester. In my opinion, I think projects are better for practical experience and gaining knowledge than tests. It makes you do your own research and find solutions through trial and error. So, I would say, keep teaching the way you are!"
guadara	"Overall the course has helped me gain knowledge in financial management and principles in managing finances, such at TVM future value vs present value and how to decide on smart investment decisions. I really appreciate integrating programming with financial concepts that help me understand and learn better.  Using Python and Google Gemini to calculate TVM, present value, future value, and analyze financial statements makes the learning very practical and hands-on. It could help to include a few more step-by-step examples showing how the code reflects the financial calculations, especially for beginners in programming. I wish to see a video perhaps where you break down step by step walkthroughs of the assignments after they are complete to see how a professional would use google Gemini and python to their advantage. I'd wish to see more what if scenarios that we could experiment more in. Lastly I'd suggest that you would share more industry examples where data analysis is used in financial roles."
gupt1107	"I wish that there was a little bit more talking about explaining how the initial conversations we have at the beginning of class connect to when we go through the information in the textbook. I like the conversations because it gives me background knowledge about things but am unsure on whether I should or should not connecting it to the information in the textbook to the detail I think I should be. Regardless of that, its a long class so I appreciate how the professor tries to keep us engaged as much as possible!"
ghannon	"The good thing about this class is that there are no surprises. I know what I have to do in terms of assignments, and we are given a good amount of time to complete them. I also like how the professor gives good feedback after every assignment, so that I know what I need to work on. The only real criticism I have had so far is that at the beginning, it was hard to understand exactly how the professor wanted me to go about doing the assignments. I would say explain the first assignment more thoroughly, so the class can get a better idea of how they should go about doing the assignments. I will say now that I have done the first assignment, I know what is expected of me."
lhardymo	"1. The good, the bad; Good: I like how the class is interactive and that we have projects based on what we're learning about instead of just memorizing stuff for exams.   Bad: I think randomly calling on people during class leads to a lot of nervousness and people not wanting to participate. I think just asking volunteers for questions would lead to increased participation.   2. The wish list I don't really have anything that I would wish to be added to the class   3. The feedback in your own word I pretty much said everything I wanted to say in the first question"
haynes33	So far the class seems structured well. It was overwhelming at first but the weekly reading and class time do enough to prep students for the required weekly assignments.
gjhennin	I would say I do like that we put into practice what we learn through the lecture into colab. I don't like that the course is driven through all online coding and what not i think it's harder to interpret the financial management topics and feels more like an AI course than a management course. I do enjoy your teaching and think you do a good job in what you need to teach us!
higbieh	"1) I enjoy creating code and doing financial analysis on the examples given.   2) I want to get further into financial concepts and learn more about important concepts more than just creating code for it, I'd just like to dive deeper.   3) I enjoy this class, and I am excited to keep learning about finance concepts."
hindsj	"I think the course is very unique and different from the rest of the courses, which makes it stand out and more engaging to learn from. Sometimes, it can be hard to follow some times though as everything in class is more open ended. I think it would help me personally if there was more direct tasks to do for the sessions. We are given all of the information right at the start of the assignment section, however I feel it would be nice to have it include key points or goals that are needed to be explained in the video for the according session. I think actually learning in this class is a lot easier than most classes as its more interactive so I have a positive image on the course."
ghubertz	"The good in this class is using the DRIVER method, how to make python code, and using AI. The bad is at times I feel like the instructions are either lacking or confusing when completing assignments. A wish list would be to have the instructions be more clear on how to complete the tasks."
chuisman	"I really enjoy the content and the style of this course so far. The professor takes extra care to get his students involved in discussion with each other and the whole class. The AI implementation is additionally very advantageous, and I believe the professor truly wants his students to feel confident in their abilities to build with AI. Overall, I am enjoying this class and I hope to learn more advanced methods of managing finance with AI assistance and also just AI usage in general"
jain789	I really like the set up of the course. I think understanding what we need to do is very clear. Obviously love the fact that we have no exams in the class. Sometimes what we cover in class can be a bit confusing but professor make sure to answer any questions anyone has. Also we have a mini project coming up and I dont really understand what to do and what is required of us. I wouldn't say I have a wish list. I like the weekly session assignments and mini projects with due date timelines so we can prepare in advance. It is nice to know that we have drops as well. I like the overall structure of the class. It is organized and well maintained. I would definelty suggest a friend to take this class with Professor Zhang.
ojanaman	"I have really enjoyed my time in MGMT 31000 so far this semester, as it has been a great introductory course for my Finance minor. I have enjoyed learning the finance concepts being taught in this class, and I appreciate the programming aspect of the class because it's very hands on work of finance and AI as used in the real world. I enjoy as it is in a window into the realm of financial engineering and data driven decisions with financial data. Professor Zhang is a very friendly and entertaining instructor for our class, and he makes class very engaging and interactive always gaining student interaction as he teaches. Since I am an Indianapolis student, our section of the class is once a week for 3 hours which I find is very long and intense to go through since it's a week of content in 3 hours. Also, I find the course really easy and believe that I could easily learn the lecture content asynchronously at my leisure due to the nature of how the course is structured. Overall, I would say that I look forward to MGMT 31000 every week and enjoy the people, professor, and content of the class."
njeknic	"Overall, the course has been very informational when it comes to communicating through other applications such as Linkedin, emails, and facebook. It is important to incorporate honesty, transparency, fairness, consistency, and responsibility. Some issues within the course include technology issues and learning multiple ways of using AI. I would consider adding extra articles in order to provide us with more feedback and insights."
njeknic	"Overall this course has been very informational for me, since I have learned new ways of using AI/Google Colab. The Lecture videos are very informational for me, and have taught me new ways of using calculating financial statements such as PV/ FT. For this class, I would like new activities to be incorporated such as in class activities where we can work together, and try different methods of coding as well. Lastly, it would be great if we discovered new ways of praticing our capstone projects."
ajervis	"For me the good of this class has been learning financial management and how to implement this in AI, like with Google Gemini and Python codes because learning this is crucial for the professional life. My wish list is to start doing more exercises of finance without including AI sometimes and just learn concepts and then implement them. I am really enjoying this course and believe all the things I am learning are really valuable for my professional life."
john3952	"Good - the interactive elements, putting students on the spots, encouraging us to explore certain concepts beyond what's required of us.  Bad - the textbook, the fact that we're focusing too much on AI and not on financial concepts.  Wishlist: Please focus more on finance, and deprioritize the DRIVER app."
kim4574	"Good: - Very applicable insights were given throughout each lesson (real-life case studies used in almost every class) that should inform our professional pursuits. - Learning new technologies that will likely be used in future jobs and internships.   Room for Improvement: - More structure to the course would be helpful in showing us what we can expect to take away from each lesson.   Wish List: - Going over the fundamentals of each topic before implementing AI in order to develop a more solid understanding of each topic. - More interaction with classmates! I like it when we split up for a few minutes to discuss something together instead of just being talked to, and then reconvening after a discussion with partners.   Overall Takeaways: - This course has definitely widened my perspective on how I should be positioning myself in the business realm. It has made me consider my compatibility with AI and the importance AI will play in every aspect of business."
krame144	"The good of this class: The instructor is very kind and funny. I like working with my peers in this class. I actually really like the idea of recording ourselves and posting it on Brightspace for our assignments. Talking through the homework makes me understand the lesson more.   The bad of this class: My peers and I feel very lost in this class. I know what topics we are discussing during class, but I have no idea what anything means. I feel as though it is a bunch of rambling, and we are not given any formulas or anything to study/practice. I am absolutely lost when we bring in Python and Google Collab. I wish we could eliminate the coding and dive more into the topics in class."
