Username	Answer
bergeror	When the semester started I was familiar with AI but I did not know how to use it to the extent that I learned throughout the course and I knew a little bit about some Finance but I got to learn more about the concepts tying them together with the AI and learning to use the AI and it more advanced way. I was surprised how well I learned throughout the way. I really started to feel like it clicked when I was using n8nÿ as it is a very cool program and I feel like I learned a lot through it. I feel like I have a new deeper Advanced relationship with AI and learning and I will carry that forward in my experience.
lbikkavi	"Hi, my name is Lahari Bikkavilli, and I'm a junior studying Business Analytics & Information Management with a minor in Computer Science. I've always been interested in both finance and AI, but this class completely changed how I think about them, especially when they're combined. Going into the course, I thought my accounting and economics classes gave me a solid finance background, but I quickly realized there was a lot more depth to it. When it came to AI, my knowledge was pretty limited to just tools like ChatGPT.
One of the biggest takeaways for me was learning how to approach problems in a more structured way through the Driver Framework. I had heard of simple ideas like the KISS principle before, but this framework really changed how I break down and think through complex problems. I was also surprised by how much I was able to learn about building AI models myself. Using tools like n8n made the process feel way more manageable and honestly pretty fun, and it showed me that creating these kinds of systems is actually possible with the right support.
This class helped me gain a lot of confidence in my ability to learn new and technical concepts. It made me realize that with the right resources, tools, and guidance, you can figure out things that initially feel intimidating. Whether it was coding, building financial models, comparing forecasting methods, or working through complex financial calculations, these tasks felt much more achievable by the end of the course.
Overall, this course really changed how I view AI, learning, and uncertainty. I now see them as things to lean into rather than avoid. Going forward, I definitely plan to use the Driver Framework when tackling problems and continue to leverage AI as a tool to help me learn and make better decisions."
tblanton	"At the beginning of the semester, I had a good foundational knowledge of finance, but not a lot of knowledge about AI. The thing that surprised me most about myself was I actually enjoy coding and using AI in those projects. Now, I am able to use AI to enhance my learning and understanding of finance and use it improve my life. From this experience, I will carry forward the unique way of thinking and applying AI in a business setting."
wborows	"At the start of this semester, I thought I had a good understanding of AI. I believed I knew how to prompt it right to get the answers that I needed. On the finance side, I did not know much. I am not a finance major and so I did not know much of what we were going to do coming in. The thing that surprised me the most was about how to prompt AI. I though short answers would get me the same results as detailed one. I was mistaken though, learning that prompting the AI in certain ways ensure that you get a better response.ÿI finally had something click for me in about week 6. I got really into the assignment and about learning it. I learned that if I gave AI a very detailed way I wanted something done, I got something in return that I originally visualized. My Ai ability and relationship have grown exponentially. I have learned how to prompt it and use it correctly. I want to keep growing in that way and be better at using AI which is what I will carry on from this expierence."
bowma177	"When this semester started, I was very new to the world of finance and AI, with no experience in either beyond simple ChatGPT use and introductory finance courses. At the start of this semester, I assumed that finance and AI were complicated topics, and you need to be in that track in order to understand what's going on. I have found that not to be true by the end of this course.ÿ
What surprised me the most about myself this semester is my ability to take feedback and grow, ensuring I understand what I am doing wrong and work through it.ÿ
I think the moment something clicked was when I understood that talking to AI is more than just a simple conversation; it is handcrafting detailed, tailored prompts so AI fully understands the requests you are sending it. This is super important for getting an accurate, high-quality output.Now, towards the end of this course, I am very well-versed in AI prompting and connecting AI with finance. Additionally, having the understanding that the first iteration is not the last, ensuring you are checking and working with the AI is essential to get a correct outputI will carry forward a hard work ethic and the ability to move forward even if the grade is lower then expected, moving and working forward is one of the most important things I have learned"
bradfo27	"When this semester began, I saw AI as a helpful shortcut and finance as something that followed a strict set of formulas and rules. I felt comfortable memorizing concepts, completing assignments, and getting to the right answer, but I did not fully understand how learning could be iterative or how AI could be used as a thinking partner rather than a tool that simply gives outputs. I believed I understood financial management, but I mostly understood it at a surface level.
What surprised me most was how much my mindset changed. I realized that my growth did not come from immediately knowing the right answer, but from working through uncertainty and refining my thinking over time. There were moments when I felt frustrated or stuck, but those moments forced me to slow down, ask better questions, and use AI to explore ideas rather than avoid the hard parts. I also surprised myself by becoming more confident in explaining financial concepts in my own words instead of relying on definitions or formulas.
One moment where things truly clicked was when I began using the DRIVER process as a loop rather than a checklist. Instead of seeing mistakes as failures, I started seeing them as signals that I needed to revisit my assumptions. That shift helped me understand finance more deeply and made learning feel more intentional and controlled.Now, I see myself as a more independent and adaptable learner. My relationship with AI has changed from dependence to collaboration, and my comfort with uncertainty has grown. I am more willing to test ideas, revise my thinking, and trust the learning process. What I will carry forward is the confidence to approach complex problems with curiosity, structure, and patience. Learning how to DRIVE with AI has not just helped me in this class; it has changed how I will approach challenges well beyond it."
ebrumme	"1)When this semester started, I have no idea what finance really was. I thought I understood basic contents until we really started to dive into the content. My learning capabilities were pretty surface level until I started to use the DRIVER framework.ÿ
2)I was surprised by how helpful AI can be at explaining topics. I had always heard it was very unreliable but after using it I now know how to double check my work and ensure that I am getting a correct outcome.ÿ
3) I think everything started clicking about halfway through the semester. I started doing bad on the assignments and tried to push myself to embrace the DRIVER framework instead of just going through the motions. This really helped me succeed in the course.ÿ
4)My relationship with AI has changed greatly. I now understand that it is a smart tool but not intelligent. Now that I have the background, I know the best prompts to get the outcomes that I want from AI.ÿ5) I will carry forward the DRIVER framework. It really deepened my purpose of learning. I started to get curious about why things were happening instead of just moving on from the subject. I am very thankful that this course has taught me many tools that I will continue to use throughout my educational and future career."
cbrunton	"Who was I when this semester started? What did I think I knew about AI, finance, and learning?
When the semester began, I thought I had a decent grasp of finance?mostly formulas, textbook logic, and surface-level intuition?but I quickly realized that what I knew was fragmented. AI, to me, was just a productivity tool, not something that could meaningfully shape how I think or learn. I approached financial problems like isolated exercises instead of stories that needed structure. Learning itself felt linear: read, memorize, solve. I didn't yet understand what it meant to build, validate, and evolve my thinking in a deliberate way using frameworks like DRIVER.


What surprised me most about myself along the way?I was surprised by how quickly I adapted to building things?even when I didn't feel ready. Normally I hesitate before starting something unfamiliar, but the loop-based building style in the course pushed me forward and showed me I could learn by doing rather than waiting to ""feel prepared."" I also surprised myself with how much clarity I gained from explaining concepts out loud in my videos; teaching the material actually made it click. And I didn't expect to enjoy the mix of finance and AI as much as I did?it ended up feeling empowering rather than intimidating


What was one moment where something finally clicked?where I felt myself grow?A major turning point was when TVM problems shifted from being formulas to being timelines?when I understood that every financial decision is just cash flows moving through time. That ""aha"" moment made stocks, bonds, mortgages, and even corporate projects feel like variations of the same idea. Another moment was recognizing how validation works: not just checking math, but developing financial skepticism and testing assumptions. Suddenly, finance felt less like guessing numbers and more like telling a defendable story using structured reasoning. That mindset shift made me feel like I was actually thinking like an analyst


Who am I now? How has my relationship with AI, learning, and uncertainty changed?
Now, I see myself as someone who can build things, explain things, and reason through uncertainty instead of freezing in it. I use AI more intentionally?not to give me answers, but to challenge my logic, help me validate ideas, or refine my thinking. Learning no longer feels like passively absorbing information; it feels like iterating, testing, and improving. And uncertainty feels less threatening because I have a framework to navigate it?DRIVER gave me a way to break big problems into steps I can handle.


What will I carry forward from this experience?
I'll carry forward the belief that progress starts with a rough draft?whether it's code, a model, or a financial analysis. I'll bring the habit of validating my assumptions rather than trusting the first answer that looks correct. I'll take the confidence that I can combine finance and technology to create something real, not just solve homework problems. Most importantly, I'll keep the mindset that learning is something I actively shape, not something that happens to me."
buchei	At the start of the semester I was someone very skeptical of taking a course so integrated with AI. I knew very little about to effectively use AI to create something powerful. During this course it allowed me to learn about the functions of AI. I was able to learn much more with AI.ÿThings started to click for me fairly early. After a couple of weeks I started to understand how AI functions and how to get what I want from it. I stopped asking it as vague of prompts and tried to make it dive deeper. This allowed me to grow in this course and become better at it. I will carry forward a deeper understanding of AI and Finance by taking this course.
rcairo	"When this semester started, I had little knowledge of AI aside from knowing it was helpful in some capacity. My learning methods were outdated (not really using AI to help speed up the learning process). I had not known much about financial management at the time. I was surprised when I realized that training AI models through the use of DRIVER was not too complicated and extremely helpful in getting better answers. I realized that AI had grown on me over the past semester. I remember a time when ChatGPT would get simple algebraic answers wrong! A moment when something clicked was when studying for another class, I had used the DRIVER method to set up a study guide for said class, and ended up saving a lot of time in the long run. I now use AI a lot more than I did at the beginning of the semester, as it's a tool that will only continuously improve throughout my lifetime. I now use AI as a fast, compact tutor that allows me to learn an entire unit in half the time, thus allowing for greater intellectual growth. From now on, I will continue to use AI to learn, study, and reinforce information taught to me in class and in further life when I land a job after graduation."
carro146	"Before this class, I was very uneducated on how much an AI output could very depending on the inserted prompt. I would normally enter a very undetailed and vague prompt and be confused why I recieved an inaccurate and undetailed output. Before this class I also thought that AI was a lot smarter when it came to outputting the correct financial values for given questions when in reality, it was quite inaccurate.ÿ
What surprised me the most throughout this course was how much more accurate my AI outputs have gotten. Now, in all of my future courses, I will be able to gain a much better understanding of the classes data due to being able to recieve more accurate data from AI (when allowed).ÿ
During the beginning of the semester, I was very lost and confused as to why we were doing those assignments and mini projects because I assumed that since we were all putting it into AI, that we would all get the same results. Everything finally clicked, though, during mini project 3 because I finally understood n8n and how to use AI to create precise coding to create the model. Seeing my grades reflect my hard work through this class helped prove that I was doing it correctly.ÿ
I am now confident on answering complex problems and knowing that if I write a detailed prompt, that I will recieve more accurate answers. Looking at some finance problems, it can be frightening and they definitely create uncertainties on if you are doing the problems correctly, but after a lot of practice I am a lot more confident on pretty much all of the topics and problems we have done this far.ÿFrom this experience, I will carry forward my ability to answer complex problems and have better knowledge on creating a great AI prompt. Now I know the difference that a good prompt makes when trying to recieve a good output. I will also carry on my ability to work as a team to get to the correct answers without AI. Having my classmates to work through the problems with helped ensure that we were all on the same page and also helped combine all of our thoughts to become more educated on the subject."
case47	"When I started this semester, I was lost when it came to AI and didn't really understand the best ways to use it to advance my learning. I figured finance was just about crunching numbers and that ""learning"" meant staring at a textbook until it stuck. The biggest surprise for me was actually realizing that I could get comfortable with this tech way faster than I expected once I actually got to use AI myself in our projects.ÿThe real turning point was during Mini Project 2 when we used n8n. Seeing that workflow come together was the moment everything clicked and I saw it wasn't just theory anymore, but a real tool I could use to automate things and actually get stuff done. Now, I feel way more capable and less scared of breaking things or not knowing the answer right away. My relationship with learning has definitely shifted from ""memorize this"" to ""figure out how to solve this,"" and I actually see AI as a partner in that process now. I'm taking away the confidence that even if I don't know something yet, I have the tools and DRIVER philosophy to help me."
jcasian	"One day in October, during the daily calls I have with my parents, I discussed them about AI. How it was advancing and they ways I was learning to use it. They shared their stories, specially some funny interactions they had heard of others while using it. Long story short, my parents and I agreed on how necessary was actually knowing the correct usage of AI.ÿ
Before this class, I had used AI, but not in a way that I could benefit a lot form it. Now, after the past 16 weeks, I have understood how to manage AI in order to generate the results I want.ÿ
After using it to understand the finance topics we discussed at the beginning, it clicked when I realize those were the same terms I was learning at my accounting class. AI helped with this class, unintentionally with other classes, and I intentionally made AI help me with a lot of other things.ÿI plan to keep using AI but in a smart way."
cheng754	"I think my take wash for this class is really the DRIVE analysis, I learned to approach each case and situation with an organized mindset. This helped me a lot through solving each assignment, working with peers during class has also taught me how to communicate my thoughts and deliver it to another person."
colon34	"When the semester started, I didn't know much about AI. I though AI was just something my peers had been using to do their homework for them. I never really experimented with AI because I did not want to become reliant on it and never think for myself. As for finance, I didn't know much. I didn't know what fiance really entailed other than money and math. Lastly, I though that learning was done mainly through typical lectures and then tests.
What suprised me most about myself along the way was how willing I was to take a deep dive and learn the content to do the video assignments well. I am also surprised I was able to learn AI and how to use it as an efficient tool. I have now integrated AI into my life to help me, not to think for me. One thing about finance that suprised me is how much uncertainty there is and that it is basically a lot of forecasting and estimated guessing.ÿ
I think the repetition of doing the video assignments and making sure I understood the fiance topics in order to teach them helped me grow. I was able to get better at taking a topic we learned in class and expanding on it. I think around session 10 was when I really got the hang of leveraging AI to help me learn the finance topics and use it as a tool to run calculations and create graphs.ÿMy relationship with AI is much stronger and more positive. I now understand just how powerful of a tool it can be. I am now ask myself, ""can this be done more efficiently with AI"" and if the answer is yes then I should be using it. After doing the video assignments I am not scare to jump into researching a topic I don't have a lot of knowledge about. All it takes is a little bit of reading, research and video watching.ÿ
From this experience, I will carry forward my new knowledge on how to use AI as a tool. I also will carry forward the DRIVER framework to use of issues that I may feel like are too big to tackle. Using the Driver framework to take a step back and go through the problem in steps, is very helpful for solving, what feels like, big problems."
icorrale	"When the semester started, I had some background in finance from courses like accounting, which introduced me to certain finance terms. However, I knew very little about AI and how to navigate it. I'm not very tech-savvy so I definitely didn't know I could create an app using AI.
I was most surprised by how quickly I was able to learn to work with AI. I didn't expect to use it in finance or to navigate it effectively to get exactly the results I wanted.
After a few tries using the DRIVER method, it finally clicked for me. I realized what I was really looking for and how to fit all the letters into the method. That moment made me feel like I truly understood the process.
I now feel much more confident working with AI. I understand how to navigate it to get the outcomes I want and I even know how to make an app if I ever need to again. I'm also more open to trying new tools and methods and figuring things out even when I start with little knowledge.
I will carry forward my improved understanding of finance and AI and AI's applications in finance, as well as the skills I developed in learning new tools like google collab and methods like DRIVER."
vcraw	"I didn't really know anything about finance until this semester truly. I feel like I was finally able to grasp at least a little bit of insight into the widely diverse field of finance. I am happy to have been able to learn in this way and incorporate AI into my projects in order to assist with my thoughts. I was surprised at how much I could actually accomplish. Before this I didn't know how to use AI near to the extent of what I do now and I think that gives me a huge advantage in the coming years. I think AI is a great tool and I appreciated when you had to say that AI is not smart it is just doing its job, we are the ones who have to think and process the outputs ai gives us. I will carry forward my perseverance of learning new skills that are tough to understand but I will continue to push towards my goals. Thank you for a great semester."
creanc	"At the start of this semester I used Ai purely to do some of my ""busy"" work for me and to do the things I was too lazy to do. But after this whole semester with Ai I have realized that Ai can help me learn and I can actually grow with Ai. It is a tool that when used right, can further my learning and I can treat Ai as a partner to help me discover new things. I can confidently say that I will be using Ai as an asset going forward in my studies and in my professional career. This class was great for me to have experience in using Ai in the finance world, to help me learn and gain experience through all of the projects."
cruz22	"Hello Professor, before beginning this class, I did not know much about finance but I did have a little experience with AI- Gemini and chatgpt. What surprised me about myself along the way was the ability to adapt to the DRIVER foundation, which I fully understand now. We can take it as a principle to apply in life and in various projects we want to undertake, not just as an acronym. The way I learned it and what surprised me was once I realized that AI is meant to be the passenger- we are the drivers! This is the one thing that, once it ""clicked"" for me, was very obvious what I needed to do. Now, what I want to takeaway from this class is the financial knowledge learned. I'll be honest Professor, there are still a few concepts I don't fully understand, which is why I haven't turned in two assignments. But, what I really liked most about the class was the bonds session. So, what I want to invest in are bonds and small index funds with the help of AI to gather all the bits and pieces, and take the final decision. Most of all with AI going forward, I will be the driver and not the passenger. Thank you for the semester."
rdate	"When this semester started I was very inexperienced with AI and I quite frankly didn't know what to expect with this course. What surprised me the most along the way was my ability to problem solve with the help of AI. There were a lot of times where I was stuck and used AI to help me get out of the jam. A moment where everything seemed to ""click"" for me was the first mini project where we finally applied our AI and financial knowledge to a financial application. I am now much more well versed in the applications of AI in the finance world and I am comfortable using AI to help me work through complex financial problems. I will carry forward my newfound AI knowledge to the professional world to give me the upper hand on my peers."
dave59	"When this semester began, I was a student new to finance and technology who felt apprehensive about the course structure, assuming that learning finance was simply about how to read and interpret financial statements.ÿrather than active modeling. I was surprised to discover that purpose over polish mattered more than perfectionÿ, and that I could gain genuine confidence in applying AI tools to real-world challenges. The moment everything clicked was when I fully embraced theÿDRIVER Framework (Define, Represent, Implement, Validate, Evolve, Reflect) , allowing finance, AI, and problem-solving to come together in a practical way. Now, I see myself as a DRIVER in the AI Era.ÿand a capable decision-maker. Who treats AI as a collaborator to accelerate learning while ensuring that the final mastery remains human. I will carry forward the DRIVER mindset and the ability to make financial thinking visible, ensuring I can communicate mastery on video and defend my choices in any future role."
david54	"When this semester started, I was a finance student who viewed Python as an intimidating barrier and finance as a collection of rigid textbook formulas. I thought I understood markets to buy low, sell high, and I viewed AI primarily as a shortcut to get answers rather than a tool for deep analysis. My approach to learning was passive; I expected to simply memorize rules and apply them.What surprised me most was discovering how much ""storytelling"" exists in the numbers. I realized that coding isn't just about syntax or fixing errors, it is about translating a strategic narrative into a testable hypothesis. I was also surprised by my own ability to grasp the logic of programming once I connected it to the financial concepts.The moment everything finally ""clicked"" arrived when I truly grasped the concept of the Cost of Capital. For weeks, I treated it as just another variable to plug into a formula. But while running a sensitivity analysis, I suddenly understood that equity isn't ""free"" money just because there are no interest payments. I realized that every dollar a company holds has an opportunity cost attached to it?the return investors expect for the risk they are taking. Seeing how a slight shift in that cost could turn a ""profitable"" project into a value-destroying one bridged the gap between academic theory and real-world decision-making.Now, I am an analyst who views uncertainty not as a roadblock, but as a variable to be modeled. My relationship with AI has shifted from reliance to partnership. I use it to structure my thinking and stress-test my assumptions rather than just asking for the answer. I will carry forward the DRIVER framework specifically the lesson that you must rigorouslyÿDefine the problem and Validate your risks before you ever spend a dollar of capital."
dedhiaj	"When the semester began, I saw AI as something interesting, but largely as a tool to acquire quick answers. Finance felt separate?something you learnt through lectures, formulae, and examples, not something directly related to AI. I also assumed that learning was primarily about finishing projects, rather than using tools to examine and challenge my own thinking.Over time, I learned how to correctly use AI?not as a shortcut, but as a means of gaining a deeper understanding of finance. I observed how well AI and finance can work together, from breaking down concepts to discovering new financial aspects and opportunities. A major ""click"" moment for me was applying AI on a real-world project outside of class, such as Mini Golf India, where I utilized it to brainstorm pricing and basic planning. That made everything feel more real and demonstrated how these skills can be applied in the future.Now, I view AI as an integral part of my future, rather than a supplementary tool. I know there is still a lot to learn about what AI can accomplish, particularly in finance, and this inspires me to keep learning. I'm particularly pleased for how well Dr.Zhang taught this course?he explained everything clearly, tied AI and finance together in a practical way, and made the information seem relevant. I'm pleased about the prospect of working with him again in the future."
dejesus3	"1. Who were you when this semester started? What did you know (or think you knew) about AI, finance, and learning itself?When the semester started, I honestly didn't know much about AI beyond asking it simple questions. I didn't think of it as something you could actually build tools with or use to break down financial decisions. My understanding of finance was pretty basic too?just the simple ideas like interest, returns, or risk. I definitely didn't expect a class to combine finance with AI in a way where I had to think, design, test, and learn through an actual process.
2. What surprised you most about yourself along the way?I was surprised by how fast I got comfortable using AI as part of my workflow. At first, I felt unsure about what to type or how to even start a project. But as the assignments got harder, I learned I could understand more than I expected. I also surprised myself by becoming more organized with how I approached each DRIVER step instead of just guessing or rushing.3. What's one moment where something finally ""clicked"" ? where you felt yourself grow?The big moment for me was Mini-Project 3 when I built the advanced AI finance tool. Seeing my own workflow run, with nodes and logic that I set up, made everything from earlier in the semester make sense?WACC, CAPM, cash flows, risk, and discount rates. It was the first time I felt like I had actually created something real, not just completed an assignment.4. Who are you now? How has your relationship with AI, with learning, with uncertainty changed?Now I feel a lot more confident in both finance concepts and using AI. I'm more comfortable experimenting, trying things, and learning through the process instead of worrying about being wrong. My relationship with AI changed from ""I guess I can ask it questions"" to ""I can use this to think better and build things."" I'm not as intimidated by complicated ideas because I know how to break them down.5. What will you carry forward from this experience?What I'll carry forward is the mindset of using AI as a tool, not a shortcut. The DRIVER framework taught me how to define problems, test ideas, revise them, and improve them. I can use that approach in my construction management classes, in finance, and in my future career. This class didn't just teach me formulas?it changed the way I approach learning and problem-solving."
dillinga	"I can without a doubt say that this class taught me so much more about how to leverage AI and use it as a tool professionally and for life.ÿ
What surprised me most was my capacity to learn this material in such as fast past thanks to the help of AI. I felt like I was collecting tons of calculations over a short time.ÿ
I think when I did the first project and I started working on the DRIVER framework and starting of with defining what I know and then discovering new information with AI I realized that wasn't as hard as I thought it was going to be when I can learn as I do the project and understand the calculations even deeper when implementing them into python rather than just writing them out and doing them by hand.ÿ
Pushing myself to learn how to prompt and make AI part of the learning process has been really beneficial and I feel confident in my able to use it in the future and less fearful of it's impact on the job market and professional world. I started off not using AI to it's full capacity, but now I can really get AI to become my learning partner.
What I will carry forward is the DRIVER framework, after doing so many projects that involved this mindset and structure, it will be hard to forget the steps and I know it will end up following it on my future projects. I think so often in projects people jump into the implementation stage without really thinking through what they are doing and this causes people to have to do way too many iterations when they could start off with defining and discovering and creating a map of their strategies rather than just redoing calculations over and over."
rdinn	"When this semester started, I felt like I had a decent handle on stats, probability, and the basics of finance, but I didn't really see AI as anything more than a tool you use here and there. I thought learning was supposed to look a certain way?follow the steps, get the formula right, move on. I was confident, but honestly a little boxed in by how I thought things ""should"" be done.
What ended up surprising me the most was how much more open I became to uncertainty. I started asking more questions, not just to get answers but to understand the reasoning behind everything. I got more comfortable trying things out, being wrong, and then figuring out why. It stopped feeling like I needed everything to be perfect before I could move forward.
One moment that really clicked for me was during a probability assignment where I was stuck on a joint distribution problem for way too long. I finally stepped back, visualized how the conditional densities behaved, and it all came together?the expectations, the marginals, the independence check. For the first time it felt like I wasn't just doing math; I actually understood what the math was saying. That feeling of things lining up in my head made me realize I was growing.Now, I'm a lot more flexible in how I approach learning. I see AI differently too?not as something that replaces thinking, but something that pushes me to think better. I'm way more willing to explore, to ask ""why,"" to try different angles instead of rushing to the final answer. I've gotten more patient with myself, and honestly more curious.What I'll carry forward from this is that mindset: being willing to explore the messy parts, to ask questions, to use the tools around me in a way that actually deepens my understanding. It's not just about knowing financial concepts?it's about becoming someone who can navigate uncertainty and figure things out. That's the part that'll stick with me."
